executable	suite	status	exit_code
bench-threads-2-riscv-double-novector	threads	ok	0
bench-threads-2-riscv-double-novector	size	ok	0
bench-threads-2-riscv-double-novector	threads-size	ok	0
bench-threads-2-riscv-double-vector	threads	ok	0
bench-threads-2-riscv-double-vector	size	ok	0
bench-threads-2-riscv-double-vector	threads-size	ok	0
bench-threads-2-riscv-single-novector	threads	ok	0
bench-threads-2-riscv-single-novector	size	ok	0
bench-threads-2-riscv-single-novector	threads-size	ok	0
bench-threads-2-riscv-single-vector	threads	ok	0
bench-threads-2-riscv-single-vector	size	ok	0
bench-threads-2-riscv-single-vector	threads-size	ok	0
